# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 1.68265 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.171076777496e-01       1.431873372435e+02 
       7.203346020556e-01       1.417669620670e+02 
       7.235615264178e-01       1.403667138066e+02 
       7.267884508354e-01       1.389864236769e+02 
       7.300153753077e-01       1.376252185871e+02 
       7.332422998340e-01       1.362821218494e+02 
       7.364692244135e-01       1.349562237479e+02 
       7.396961490456e-01       1.336473943843e+02 
       7.429230737296e-01       1.323552160197e+02 
       7.461499984647e-01       1.310808410342e+02 
       7.493769232504e-01       1.298240411578e+02 
       7.526038480859e-01       1.285847567024e+02 
       7.558307729707e-01       1.273625026635e+02 
       8.254834615704e-01       1.044993960257e+02 
       9.260355997576e-01       8.051251328609e+01 
       1.085587640843e+00       5.586625596272e+01 
       1.338476910457e+00       3.424331328213e+01 
       1.682651374321e+00       1.986883656066e+01 
