# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  148       5.812045776272e-10       1.483375697521e-13      -6.201770649712e-12       0.000000000000e+00       3.414716509953e-12       6.341111871584e-13      -4.051293198778e-15 
  149       5.856754249096e-10       1.477804203146e-13      -6.212864891583e-12       0.000000000000e+00       3.349036700564e-12       6.249969675610e-13      -3.989631771359e-15 
  150       5.901232337636e-10       1.471623585939e-13      -6.220794843060e-12       0.000000000000e+00       3.285001119269e-12       6.160818015871e-13      -3.928494490009e-15 
  151       5.945467807895e-10       1.464845078931e-13      -6.225516577289e-12       0.000000000000e+00       3.222586235172e-12       6.073605488301e-13      -3.867822458242e-15 
  152       5.989448019307e-10       1.457480963555e-13      -6.226987695101e-12       0.000000000000e+00       3.161761968672e-12       5.988270685611e-13      -3.807550098818e-15 
  153       6.033159916733e-10       1.449544587380e-13      -6.225167365606e-12       0.000000000000e+00       3.102491545958e-12       5.904741979064e-13      -3.747605015267e-15 
  154       6.076590022464e-10       1.441050381836e-13      -6.220016366785e-12       0.000000000000e+00       3.044731353516e-12       5.822937300246e-13      -3.687907853409e-15 
  155       6.119724428219e-10       1.432013879950e-13      -6.211497126079e-12       0.000000000000e+00       2.988430792631e-12       5.742763922838e-13      -3.628372162879e-15 
  156       6.162548787142e-10       1.422451734074e-13      -6.199573760979e-12       0.000000000000e+00       2.933532133891e-12       5.664118244395e-13      -3.568904258646e-15 
  157       6.205048305806e-10       1.412381733620e-13      -6.184212119621e-12       0.000000000000e+00       2.879970371688e-12       5.586885568112e-13      -3.509403082538e-15 
  158       6.247207736210e-10       1.401822822784e-13      -6.165379821375e-12       0.000000000000e+00       2.827673078726e-12       5.510939884601e-13      -3.449760064765e-15 
  159       6.289011367775e-10       1.390795118285e-13      -6.143046297435e-12       0.000000000000e+00       2.776560260516e-12       5.436143653667e-13      -3.389858985435e-15 
  160       6.330443019349e-10       1.379319927091e-13      -6.117182831411e-12       0.000000000000e+00       2.726544209887e-12       5.362347586074e-13      -3.329575836087e-15 
  161       6.371487138320e-10       1.367419276893e-13      -6.087762446677e-12       0.000000000000e+00       2.677547470629e-12       5.289424017314e-13      -3.268811010961e-15 
  162       6.412132223977e-10       1.355114423652e-13      -6.054759472000e-12       0.000000000000e+00       2.629558819096e-12       5.217370803678e-13      -3.207589370696e-15 
