# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 1.68265 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.654078512815e-01       3.650896232223e+02 
       4.686347669529e-01       3.597984704437e+02 
       4.718616828291e-01       3.545762563059e+02 
       4.750885989059e-01       3.494299889677e+02 
       4.783155151791e-01       3.443637933236e+02 
       4.815424316448e-01       3.393884435189e+02 
       4.847693482992e-01       3.345144453845e+02 
       4.879962651385e-01       3.297505169692e+02 
       4.912231821591e-01       3.251047958614e+02 
       4.944500993573e-01       3.205834090464e+02 
       4.976770167298e-01       3.161837299455e+02 
       5.009039342731e-01       3.119004569868e+02 
       5.041308519840e-01       3.077216617636e+02 
       5.073577698592e-01       3.036391957744e+02 
       5.105846878956e-01       2.996409746344e+02 
       5.138116060902e-01       2.957209284191e+02 
       5.170385244400e-01       2.918708637257e+02 
       5.202654429422e-01       2.880847235383e+02 
       5.234923615938e-01       2.843571298193e+02 
       5.267192803921e-01       2.806824344788e+02 
       5.299461993344e-01       2.770560024401e+02 
       5.331731184182e-01       2.734765297399e+02 
       5.364000376409e-01       2.699449352705e+02 
       5.396269569998e-01       2.664677314164e+02 
       5.428538764927e-01       2.630461427163e+02 
       5.460807961172e-01       2.596865468878e+02 
       5.493077158708e-01       2.563888734925e+02 
       5.525346357514e-01       2.531542218568e+02 
       5.557615557567e-01       2.499805601975e+02 
       5.589884758846e-01       2.468670401422e+02 
       5.622153961329e-01       2.438131170689e+02 
       5.654423164995e-01       2.408193896558e+02 
       5.686692369826e-01       2.378843578812e+02 
       5.718961575800e-01       2.350070606851e+02 
       5.751230782898e-01       2.321841733505e+02 
       5.783499991102e-01       2.294121265636e+02 
       5.815769200394e-01       2.266859284141e+02 
       5.848038410754e-01       2.240032879120e+02 
       5.880307622166e-01       2.213612530162e+02 
       5.912576834611e-01       2.187601785597e+02 
       5.944846048075e-01       2.161984547708e+02 
       5.977115262538e-01       2.136760513487e+02 
       6.009384477987e-01       2.111922423154e+02 
       6.041653694404e-01       2.087450165787e+02 
       6.073922911775e-01       2.063330475394e+02 
       6.106192130084e-01       2.039563008648e+02 
       6.138461349316e-01       2.016147533600e+02 
       6.170730569457e-01       1.993098692270e+02 
       6.202999790492e-01       1.970439475246e+02 
       6.235269012408e-01       1.948167858114e+02 
       6.267538235191e-01       1.926278846225e+02 
       6.299807458828e-01       1.904761274980e+02 
       6.332076683305e-01       1.883592099974e+02 
       6.364345908610e-01       1.862764510265e+02 
       6.396615134731e-01       1.842263648894e+02 
       6.428884361654e-01       1.822088142654e+02 
       6.461153589368e-01       1.802237128739e+02 
       6.493422817861e-01       1.782703457752e+02 
       6.525692047121e-01       1.763472735863e+02 
       6.557961277137e-01       1.744523644797e+02 
       6.590230507899e-01       1.725841499317e+02 
       6.622499739394e-01       1.707411400851e+02 
       6.654768971613e-01       1.689235297897e+02 
       6.687038204544e-01       1.671318827640e+02 
       6.719307438178e-01       1.653666453855e+02 
       6.751576672505e-01       1.636278046463e+02 
       6.783845907514e-01       1.619149601627e+02 
       6.816115143195e-01       1.602263772044e+02 
       6.848384379540e-01       1.585618602963e+02 
       6.880653616539e-01       1.569204200470e+02 
       6.912922854183e-01       1.553022477345e+02 
       6.945192092462e-01       1.537080510686e+02 
       6.977461331369e-01       1.521378601108e+02 
       7.009730570893e-01       1.505919703805e+02 
       7.041999811027e-01       1.490690989628e+02 
       7.074269051763e-01       1.475680977989e+02 
       7.106538293092e-01       1.460878939630e+02 
       7.138807535005e-01       1.446275575051e+02 
       7.171076777496e-01       1.431874728716e+02 
       7.203346020556e-01       1.417670039145e+02 
       7.235615264178e-01       1.403668470143e+02 
       7.267884508354e-01       1.389864357625e+02 
       7.300153753077e-01       1.376252212517e+02 
       7.332422998340e-01       1.362822601030e+02 
       7.364692244135e-01       1.349562346097e+02 
       7.396961490456e-01       1.336474262789e+02 
       7.429230737296e-01       1.323552954638e+02 
       7.461499984647e-01       1.310808424801e+02 
       7.493769232504e-01       1.298240193344e+02 
       7.526038480859e-01       1.285847676850e+02 
       7.558307729707e-01       1.273625131395e+02 
       8.254834615704e-01       1.044994035046e+02 
       9.260355997576e-01       8.051252697824e+01 
       1.085587640843e+00       5.586625943525e+01 
       1.338476910457e+00       3.424327080130e+01 
       1.682651374321e+00       1.986883314192e+01 
